name,phase
"  1/2"" EMT CONDUIT",4200
"  3/4"" EMT CONDUIT",4200
"1""     EMT CONDUIT",4200
"1 1/4"" EMT CONDUIT",4200
"1 1/2"" EMT CONDUIT",4200
"2""     EMT CONDUIT",4200
"2 1/2"" EMT CONDUIT",4200
"3""     EMT CONDUIT",4200
"3 1/2"" EMT CONDUIT",4200
"4""     EMT CONDUIT",4200
"CONDUIT 1-1/2-EMT 1-1/2"" X 10FT EMT",4200
"  3/4"" EMT 90 DEG ELBOW",4200
"1""     EMT 90 DEG ELBOW",4200
"1 1/4"" EMT 90 DEG ELBOW",4200
"1 1/2"" EMT 90 DEG ELBOW",4200
"2""     EMT 90 DEG ELBOW",4200
"2 1/2"" EMT 90 DEG ELBOW",4200
"3""     EMT 90 DEG ELBOW",4200
"3 1/2"" EMT 90 DEG ELBOW",4200
"4""     EMT 90 DEG ELBOW",4200
"  1/2"" EMT/EMT PULL ELBOW",4200
"  3/4"" EMT/EMT PULL ELBOW",4200
"1""     EMT/EMT PULL ELBOW",4200
"2""     EMT 45 DEG ELBOW",4200
"2 1/2"" EMT 45 DEG ELBOW",4200
"3""     EMT 45 DEG ELBOW",4200
"3 1/2"" EMT 45 DEG ELBOW",4200
"4""     EMT 45 DEG ELBOW",4200
"  1/2"" EMT 90 DEG COMP SHORT ELBOW",4200
"  3/4"" EMT 90 DEG COMP SHORT ELBOW",4200
"1""     EMT 90 DEG COMP SHORT ELBOW",4200
"1 1/4"" EMT 90 DEG COMP SHORT ELBOW",4200
"1 1/2"" EMT 90 DEG COMP SHORT ELBOW",4200
"2""     EMT 90 DEG COMP SHORT ELBOW",4200
"  1/2"" EMT INSUL 90 DEG SHORT ELBOW",4200
"  3/4"" EMT INSUL 90 DEG SHORT ELBOW",4200
"1""     EMT INSUL 90 DEG SHORT ELBOW",4200
"1 1/4"" EMT INSUL 90 DEG SHORT ELBOW",4200
"1 1/2"" EMT INSUL 90 DEG SHORT ELBOW",4200
"2""     EMT INSUL 90 DEG SHORT ELBOW",4200
"1 1/4"" EMT 90 DEG FIELD BEND",4200
"1 1/2"" EMT 90 DEG FIELD BEND",4200
"2""     EMT 90 DEG FIELD BEND",4200
